B <00:20:11> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:20:20> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:20:21> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:20:30> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:20:31> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:20:40> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:20:41> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:20:50> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:20:51> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:21:00> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:21:01> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:21:10> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:21:11> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:21:20> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:21:21> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:21:30> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:21:31> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:21:40> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:21:41> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:21:50> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:21:51> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:22:00> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:22:01> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
C <00:22:10> Try to reconnect WorldServer! (IP:222.106.120.39, Port:17201)
B <00:22:11> Fail To Connect WorldServer! (IP:222.106.120.39, Port:17201)
