### Packet Size Reporting Start!!! ###

### Login Agent to Client ### 
[ SIZE :    11 ] DSTC_LEVELUP
[ SIZE :    28 ] DSTC_MAKING_CANCAL_RETURN_INV
[ SIZE :   164 ] DSTC_MAKING_CANCEL
[ SIZE :    23 ] DSTC_MATCH_USER_INFO
[ SIZE :    31 ] DSTC_MOVE
[ SIZE :    35 ] DSTC_MOVE_MON
[ SIZE :   263 ] DSTC_ORIGINATIONITEMWITHEFFECTKIND
[ SIZE :    44 ] DSTC_OVERDRIVE_CHK
[ SIZE :    10 ] DSTC_PARTY
[ SIZE :     5 ] DSTC_PARTY_ARRAY
[ SIZE :     6 ] DSTC_PARTY_BOARD
[ SIZE :     3 ] DSTC_PARTY_MAIGCARRAYFAIL
[ SIZE :    23 ] DSTC_PARTY_PORTALFAIL
[ SIZE :    17 ] DSTC_PARTY_PORTALMOVE
[ SIZE :     8 ] DSTC_PKCOUNT
[ SIZE :    63 ] DSTC_PLAYERSHOPITEM_RETURN_INV
[ SIZE :     6 ] DSTC_PLAYERSHOP_CLOSE
[ SIZE :   413 ] DSTC_PLAYERSHOP_ITEM
[ SIZE :    46 ] DSTC_PLAYERSHOP_OPEN
[ SIZE :    48 ] DSTC_PLAYERSHOP_SELL
[ SIZE :   497 ] DSTC_PLAYERSHOP_SHOWALL
[ SIZE :     3 ] DSTC_PLAYERSHOP_SOLDOUT
[ SIZE :     7 ] DSTC_PLAYER_BAD
[ SIZE :     7 ] DSTC_PLAYER_REST
[ SIZE :     7 ] DSTC_PORTAL_DISAPPEAR
[ SIZE :    57 ] DSTC_PORTAL_JOIN_USER
[ SIZE :    23 ] DSTC_PORTAL_MOVE_OUTSIDE
[ SIZE :     5 ] DSTC_PORTAL_MOVE_OUTSIDE_FAIL
[ SIZE :     6 ] DSTC_READY_MATCH_MAN2MAN
[ SIZE :    14 ] DSTC_RESPONSE_PORTAL_JOIN_USER
[ SIZE :     3 ] DSTC_SHOP_FAIL
[ SIZE :   413 ] DSTC_SHOP_ITEM
[ SIZE :   302 ] DSTC_SKILL
[ SIZE :     7 ] DSTC_SKILL_INFO
[ SIZE :   157 ] DSTC_SKILL_INIT
[ SIZE :    25 ] DSTC_SKILL_RESULT
[ SIZE :    10 ] DSTC_START_MATCH_MAN2MAN
[ SIZE :     8 ] DSTC_STATUS_INFO
[ SIZE :     4 ] DSTC_STATUS_INIT
[ SIZE :    14 ] DSTC_STOP
[ SIZE :    14 ] DSTC_STOP_MON
[ SIZE :     3 ] DSTC_SWITCH_WEAPON
[ SIZE :   612 ] DSTC_TRADE_CANCEL
[ SIZE :    23 ] DSTC_TRADE_CANCELFAIL
[ SIZE :   108 ] DSTC_TRADE_CANCEL_RETURN_INV
[ SIZE :   581 ] DSTC_TRADE_DATA
[ SIZE :   602 ] DSTC_TRADE_ITEM
[ SIZE :    23 ] DSTC_TRADE_OK
[ SIZE :    27 ] DSTC_TRADE_REQUEST
[ SIZE :    27 ] DSTC_TRADE_RESULT
[ SIZE :    23 ] DSTC_TRADE_RETURN
[ SIZE :    23 ] DSTC_TRADE_TRADE
[ SIZE :    43 ] DSTC_UPDATE_GUARDIAN_ITEM
[ SIZE :    28 ] DSTC_UPGRADE_CANCAL_RETURN_INV
[ SIZE :     7 ] DSTC_UPGRADE_CHK
[ SIZE :   164 ] DSTC_UPGRADE_FAIL
[ SIZE :    13 ] DSTC_USER_PORTAL
[ SIZE :   153 ] DSTC_USER_SKILL_LEVEL
[ SIZE :    10 ] DSTC_USER_SPEED
[ SIZE :   363 ] DSTC_USER_STATUS
[ SIZE :    14 ] DSTC_WEAPON_HAND

@@ Max Packet is DSTC_BANK_INFO [5461]


### Dungeon Server to World Server ### 
[ SIZE :    32 ] DSTWS_CHECK_DUNGEONJOIN
[ SIZE :    10 ] DSTWS_DUNGEON_ALIVE_INFO
[ SIZE :     5 ] DSTWS_DUNGEON_CHANGE_OPERATION_TYPE
[ SIZE :    15 ] DSTWS_DUNGEON_GROUPEXP
[ SIZE :    45 ] DSTWS_DUNGEON_GUARDIANITEM_ATTACH
[ SIZE :     8 ] DSTWS_DUNGEON_JOIN_SUCCESS
[ SIZE :    45 ] DSTWS_DUNGEON_MAGICARRAY_ATTACH
[ SIZE :    52 ] DSTWS_DUNGEON_OWNER_CHANGE
[ SIZE :     5 ] DSTWS_DUNGEON_REFRESH_OPERATIONMODE
[ SIZE :     4 ] DSTWS_EVENT_DUNGEON_CLEAR
[ SIZE :     4 ] DSTWS_EVENT_DUNGEON_USER_ENTER_BY_PORTAL
[ SIZE :     4 ] DSTWS_EVENT_DUNGEON_USER_OUT
[ SIZE :    13 ] DSTWS_FRIENDUSER_INFO
[ SIZE :     2 ] DSTWS_GM_COMMAND
[ SIZE :    16 ] DSTWS_GOTOWORLD
[ SIZE :    13 ] DSTWS_GUILDUSER_INFO
[ SIZE :    26 ] DSTWS_GUILDWAR_POINT
[ SIZE :    33 ] DSTWS_PARTY_INFO
[ SIZE :     8 ] DSTWS_REFRESH_ACCENTRANCE_ACQUISITION
